airbnbID,date,description,housing_type,lat,location,lon,price,title,url
14491652,,,,49.211443,,-122.815613,,,https://www.airbnb.ca/rooms/14491652?location=Surrey%2C%20BC
21661355,,,,49.262762,,-122.955047,,,https://www.airbnb.ca/rooms/21661355?location=Surrey%2C%20BC
8173541,,,,49.193152,,-123.109628,,,https://www.airbnb.ca/rooms/8173541?location=Surrey%2C%20BC
27397,,,,49.173251,,-122.969837,,,https://www.airbnb.ca/rooms/27397?location=Surrey%2C%20BC
13123324,,,,49.251006,,-122.978265,,,https://www.airbnb.ca/rooms/13123324?location=Surrey%2C%20BC
1713443,,,,49.17426,,-123.190566,,,https://www.airbnb.ca/rooms/1713443?location=Surrey%2C%20BC
7258164,,,,49.226953,,-122.889346,,,https://www.airbnb.ca/rooms/7258164?location=Surrey%2C%20BC
172222,,,,49.160592,,-123.162627,,,https://www.airbnb.ca/rooms/172222?location=Surrey%2C%20BC
13940192,,,,49.21545,,-122.979959,,,https://www.airbnb.ca/rooms/13940192?location=Surrey%2C%20BC
4888430,,,,49.261,,-123.082,,,https://www.airbnb.ca/rooms/4888430?location=Surrey%2C%20BC
13126433,,,,49.231068,,-122.954168,,,https://www.airbnb.ca/rooms/13126433?location=Surrey%2C%20BC
8991720,,,,49.280497,,-123.123077,,,https://www.airbnb.ca/rooms/8991720?location=Surrey%2C%20BC
7133912,,,,49.228996,,-122.96315,,,https://www.airbnb.ca/rooms/7133912?location=Surrey%2C%20BC
16691361,,,,49.325445,,-123.056348,,,https://www.airbnb.ca/rooms/16691361?location=Surrey%2C%20BC
14791979,,,,49.279641,,-123.118816,,,https://www.airbnb.ca/rooms/14791979?location=Surrey%2C%20BC
3812348,,,,49.236653,,-123.104547,,,https://www.airbnb.ca/rooms/3812348?location=Surrey%2C%20BC
6437953,,,,49.246607,,-123.016713,,,https://www.airbnb.ca/rooms/6437953?location=Surrey%2C%20BC
5175785,,,,49.152353,,-122.931506,,,https://www.airbnb.ca/rooms/5175785?location=Surrey%2C%20BC
11425045,,,,49.279274,,-123.107908,,,https://www.airbnb.ca/rooms/11425045?location=Surrey%2C%20BC
14917517,,,,49.253588,,-123.061366,,,https://www.airbnb.ca/rooms/14917517?location=Surrey%2C%20BC
1030467,,,,49.244226,,-123.036685,,,https://www.airbnb.ca/rooms/1030467?location=Surrey%2C%20BC
16578149,,,,49.275079,,-123.028677,,,https://www.airbnb.ca/rooms/16578149?location=Surrey%2C%20BC
177631,,,,49.277114,,-123.118479,,,https://www.airbnb.ca/rooms/177631?location=Surrey%2C%20BC
22473148,,,,49.270051,,-122.990045,,,https://www.airbnb.ca/rooms/22473148?location=Surrey%2C%20BC
18619780,,,,49.24821,,-122.810093,,,https://www.airbnb.ca/rooms/18619780?location=Surrey%2C%20BC
12189607,,,,49.230989,,-122.997161,,,https://www.airbnb.ca/rooms/12189607?location=Surrey%2C%20BC
5311594,,,,49.204443,,-122.92344,,,https://www.airbnb.ca/rooms/5311594?location=Surrey%2C%20BC
14757196,,,,49.222449,,-123.085816,,,https://www.airbnb.ca/rooms/14757196?location=Surrey%2C%20BC
13701691,,,,49.241332,,-123.063642,,,https://www.airbnb.ca/rooms/13701691?location=Surrey%2C%20BC
17669173,,,,49.225375,,-122.934899,,,https://www.airbnb.ca/rooms/17669173?location=Surrey%2C%20BC
16570519,,,,49.25091,,-122.977984,,,https://www.airbnb.ca/rooms/16570519?location=Surrey%2C%20BC
19176430,,,,49.1879,,-122.942136,,,https://www.airbnb.ca/rooms/19176430?location=Surrey%2C%20BC
8309343,,,,49.229969,,-122.976481,,,https://www.airbnb.ca/rooms/8309343?location=Surrey%2C%20BC
1015935,,,,49.281414,,-123.090116,,,https://www.airbnb.ca/rooms/1015935?location=Surrey%2C%20BC
